Conc,Age,Molting,Survival
0,0_4,100,100
0,0_4,100,100
0,0_4,100,100
0,0_4,100,100
0.5,0_4,80,80
0.5,0_4,100,100
0.5,0_4,80,100
0.5,0_4,80,100
1,0_4,100,100
1,0_4,80,100
1,0_4,80,100
1,0_4,80,80
2,0_4,100,100
2,0_4,100,100
2,0_4,100,40
2,0_4,100,80
4,0_4,40,0
4,0_4,60,0
4,0_4,40,60
4,0_4,60,40
8,0_4,0,0
8,0_4,0,0
8,0_4,0,0
8,0_4,0,0
12,0_4,0,0
12,0_4,0,0
12,0_4,0,0
12,0_4,0,0
0,4_8,100,100
0,4_8,100,100
0,4_8,100,100
0,4_8,100,100
0.5,4_8,100,100
0.5,4_8,80,100
0.5,4_8,100,100
0.5,4_8,80,100
1,4_8,80,100
1,4_8,100,100
1,4_8,100,100
1,4_8,80,100
2,4_8,100,100
2,4_8,80,100
2,4_8,100,80
2,4_8,100,100
4,4_8,80,80
4,4_8,80,60
4,4_8,100,80
4,4_8,60,80
8,4_8,0,0
8,4_8,60,0
8,4_8,0,0
8,4_8,40,0
12,4_8,0,0
12,4_8,0,0
12,4_8,0,0
12,4_8,0,0
0,8_12,100,100
0,8_12,100,100
0,8_12,100,100
0,8_12,100,100
0.5,8_12,80,100
0.5,8_12,100,100
0.5,8_12,100,100
0.5,8_12,100,100
1,8_12,100,100
1,8_12,100,100
1,8_12,100,100
1,8_12,100,100
2,8_12,100,100
2,8_12,100,100
2,8_12,100,100
2,8_12,100,100
4,8_12,100,80
4,8_12,100,100
4,8_12,80,80
4,8_12,100,100
8,8_12,80,20
8,8_12,60,0
8,8_12,20,0
8,8_12,40,20
12,8_12,20,20
12,8_12,0,0
12,8_12,0,0
12,8_12,0,0
0,0_12,100,100
0,0_12,100,100
0,0_12,100,100
0,0_12,100,100
0.5,0_12,100,100
0.5,0_12,80,100
0.5,0_12,80,100
0.5,0_12,80,100
1,0_12,100,100
1,0_12,100,100
1,0_12,100,100
1,0_12,100,100
2,0_12,100,100
2,0_12,100,100
2,0_12,100,100
2,0_12,80,80
4,0_12,100,100
4,0_12,100,60
4,0_12,60,100
4,0_12,100,40
8,0_12,20,20
8,0_12,0,0
8,0_12,0,20
8,0_12,40,0
12,0_12,0,20
12,0_12,0,0
12,0_12,0,0
12,0_12,0,0
0,0_24,100,100
0,0_24,100,100
0,0_24,100,100
0,0_24,100,100
0.5,0_24,100,100
0.5,0_24,100,100
0.5,0_24,100,100
0.5,0_24,100,100
1,0_24,100,100
1,0_24,100,100
1,0_24,100,100
1,0_24,100,100
2,0_24,100,100
2,0_24,100,100
2,0_24,100,100
2,0_24,100,100
4,0_24,100,100
4,0_24,100,80
4,0_24,80,100
4,0_24,100,100
8,0_24,100,60
8,0_24,80,80
8,0_24,60,40
8,0_24,100,60
12,0_24,80,60
12,0_24,80,80
12,0_24,80,60
12,0_24,80,80
