Conc,Age,Molting,Survival
0,0_4,0,0
0,0_4,0,0
0,0_4,0,0
0,0_4,0,0
0.5,0_4,0,0
0.5,0_4,0,0
0.5,0_4,0,0
0.5,0_4,0,0
1,0_4,0,0
1,0_4,0,0
1,0_4,0,0
1,0_4,0,0
2,0_4,0,0
2,0_4,0,0
2,0_4,0,0
2,0_4,0,0
4,0_4,0,0
4,0_4,0,0
4,0_4,0,0
4,0_4,0,0
8,0_4,0,0
8,0_4,0,0
8,0_4,0,0
8,0_4,0,0
12,0_4,0,0
12,0_4,0,0
12,0_4,0,0
12,0_4,0,0
0,4_8,0,100
0,4_8,20,100
0,4_8,20,100
0,4_8,0,100
0.5,4_8,0,100
0.5,4_8,0,100
0.5,4_8,0,100
0.5,4_8,0,100
1,4_8,0,100
1,4_8,20,100
1,4_8,0,100
1,4_8,0,100
2,4_8,0,100
2,4_8,0,100
2,4_8,0,100
2,4_8,20,100
4,4_8,0,100
4,4_8,20,100
4,4_8,0,100
4,4_8,0,100
8,4_8,0,100
8,4_8,0,100
8,4_8,0,100
8,4_8,0,100
12,4_8,0,100
12,4_8,0,100
12,4_8,0,80
12,4_8,0,100
0,8_12,0,100
0,8_12,20,100
0,8_12,20,100
0,8_12,40,100
0.5,8_12,40,100
0.5,8_12,80,100
0.5,8_12,40,100
0.5,8_12,60,100
1,8_12,40,100
1,8_12,60,100
1,8_12,80,100
1,8_12,20,100
2,8_12,80,100
2,8_12,80,100
2,8_12,60,100
2,8_12,40,100
4,8_12,20,100
4,8_12,40,100
4,8_12,40,100
4,8_12,20,100
8,8_12,80,80
8,8_12,60,40
8,8_12,0,100
8,8_12,20,100
12,8_12,20,80
12,8_12,0,60
12,8_12,0,60
12,8_12,0,60
0,0_12,60,100
0,0_12,80,100
0,0_12,100,100
0,0_12,80,100
0.5,0_12,60,100
0.5,0_12,60,100
0.5,0_12,40,100
0.5,0_12,40,100
1,0_12,20,100
1,0_12,0,100
1,0_12,40,100
1,0_12,60,100
2,0_12,40,100
2,0_12,60,100
2,0_12,40,100
2,0_12,60,100
4,0_12,80,100
4,0_12,20,100
4,0_12,40,80
4,0_12,40,100
8,0_12,20,80
8,0_12,0,80
8,0_12,0,80
8,0_12,40,20
12,0_12,20,60
12,0_12,20,60
12,0_12,20,80
12,0_12,0,0
0,0_24,60,100
0,0_24,100,100
0,0_24,80,100
0,0_24,20,100
0.5,0_24,80,100
0.5,0_24,60,100
0.5,0_24,60,100
0.5,0_24,20,100
1,0_24,100,100
1,0_24,80,100
1,0_24,80,100
1,0_24,100,100
2,0_24,60,100
2,0_24,60,100
2,0_24,80,100
2,0_24,80,100
4,0_24,80,100
4,0_24,40,100
4,0_24,40,100
4,0_24,80,100
8,0_24,60,100
8,0_24,80,100
8,0_24,40,100
8,0_24,80,80
12,0_24,80,80
12,0_24,80,100
12,0_24,40,80
12,0_24,80,100
