Conc,M_04_24,S_04_24,M_48_24,S_48_24,M_812_24,S_812_24,M_012_24,S_012_24,M_024_24,S_024_24,M_04_36,S_04_36,M_48_36,S_48_36,M_812_36,S_812_36,M_012_36,S_012_36,M_024_36,S_024_36,M_04_48,S_04_48,M_48_48,S_48_48,M_812_48,S_812_48,M_012_48,S_012_48,M_024_48,S_024_48
0,0,0,0,100,0,100,75,100,92.30769231,100,133.3333333,100,94.11764706,100,111.1111111,100,100,100,84.21052632,100,100,100,100,100,100,100,100,100,100,100
0,0,0,200,100,100,100,100,100,153.8461538,100,88.88888889,100,117.6470588,100,111.1111111,100,100,100,105.2631579,100,100,100,100,100,100,100,100,100,100,100
0,0,0,200,100,100,100,125,100,123.0769231,100,88.88888889,100,70.58823529,100,66.66666667,100,100,100,105.2631579,100,100,100,100,100,100,100,100,100,100,100
0,0,0,0,100,200,100,100,100,30.76923077,100,88.88888889,100,117.6470588,100,111.1111111,100,100,100,105.2631579,100,100,100,100,100,100,100,100,100,100,100
0.5,0,0,0,100,200,100,75,100,123.0769231,100,44.44444444,100,94.11764706,100,88.88888889,100,80,100,84.21052632,100,80,80,100,100,80,100,100,100,100,100
0.5,0,0,0,100,400,100,75,100,92.30769231,100,88.88888889,100,94.11764706,100,111.1111111,100,80,100,84.21052632,100,100,100,80,100,100,100,80,100,100,100
0.5,0,0,0,100,200,100,50,100,92.30769231,100,133.3333333,100,117.6470588,100,88.88888889,100,80,100,84.21052632,100,80,100,100,100,100,100,80,100,100,100
0.5,0,0,0,100,300,100,50,100,30.76923077,100,44.44444444,100,117.6470588,100,111.1111111,100,60,100,105.2631579,100,80,100,80,100,100,100,80,100,100,100
1,0,0,0,100,200,100,25,100,153.8461538,100,0,100,117.6470588,100,111.1111111,100,100,100,105.2631579,100,100,100,80,100,100,100,100,100,100,100
1,0,0,200,100,300,100,0,100,123.0769231,100,88.88888889,100,94.11764706,100,88.88888889,100,100,100,105.2631579,100,80,100,100,100,100,100,100,100,100,100
1,0,0,0,100,400,100,50,100,123.0769231,100,0,100,117.6470588,100,111.1111111,100,60,100,105.2631579,100,80,100,100,100,100,100,100,100,100,100
1,0,0,0,100,100,100,75,100,153.8461538,100,44.44444444,100,117.6470588,100,88.88888889,100,60,100,105.2631579,100,80,80,80,100,100,100,100,100,100,100
2,0,0,0,100,400,100,50,100,92.30769231,100,133.3333333,100,117.6470588,100,111.1111111,100,80,100,105.2631579,100,100,100,100,100,100,100,100,100,100,100
2,0,0,0,100,400,100,75,100,92.30769231,100,88.88888889,100,94.11764706,100,111.1111111,100,100,100,105.2631579,100,100,100,80,100,100,100,100,100,100,100
2,0,0,0,100,300,100,50,100,123.0769231,100,0,100,117.6470588,100,111.1111111,100,80,100,105.2631579,100,100,40,100,80,100,100,100,100,100,100
2,0,0,200,100,200,100,75,100,123.0769231,100,133.3333333,100,117.6470588,100,111.1111111,100,100,100,105.2631579,100,100,80,100,100,100,100,80,80,100,100
4,0,0,0,100,100,100,100,100,123.0769231,100,44.44444444,80,94.11764706,80,88.88888889,100,100,100,105.2631579,100,40,0,80,80,100,80,100,100,100,100
4,0,0,200,100,200,100,25,100,61.53846154,100,44.44444444,80,94.11764706,100,66.66666667,100,100,80,105.2631579,80,60,0,80,60,100,100,100,60,100,80
4,0,0,0,100,200,100,50,80,61.53846154,100,88.88888889,80,94.11764706,100,88.88888889,100,40,80,105.2631579,100,40,60,100,80,80,80,60,100,80,100
4,0,0,0,100,100,100,50,100,123.0769231,100,44.44444444,80,70.58823529,80,111.1111111,100,100,100,105.2631579,100,60,40,60,80,100,100,100,40,100,100
8,0,0,0,100,400,80,25,80,92.30769231,100,0,20,0,20,88.88888889,40,20,40,105.2631579,80,0,0,0,0,80,20,20,20,100,60
8,0,0,0,100,300,40,0,80,123.0769231,100,0,80,70.58823529,0,66.66666667,0,0,40,84.21052632,80,0,0,60,0,60,0,0,0,80,80
8,0,0,0,100,0,100,0,80,61.53846154,100,0,40,0,0,22.22222222,0,0,40,63.15789474,40,0,0,0,0,20,0,0,20,60,40
8,0,0,0,100,100,100,50,20,123.0769231,80,0,60,47.05882353,20,44.44444444,40,40,0,63.15789474,80,0,0,40,0,40,20,40,0,100,60
12,0,0,0,100,100,80,25,60,123.0769231,80,0,60,0,20,22.22222222,20,20,40,84.21052632,60,0,0,0,0,20,20,0,20,80,60
12,0,0,0,100,0,60,25,60,123.0769231,100,0,40,0,20,0,20,20,40,84.21052632,80,0,0,0,0,0,0,0,0,80,80
12,0,0,0,80,0,60,25,80,61.53846154,80,0,40,0,0,0,0,20,60,84.21052632,80,0,0,0,0,0,0,0,0,80,60
12,0,0,0,100,0,60,0,0,123.0769231,100,0,60,0,0,0,0,0,0,84.21052632,80,0,0,0,0,0,0,0,0,80,80
